11:03:12 |c|*OutrageousBoT|B _ b _ r _ / B e r r y | [Pokémon Item] | p
11:03:12 |c|@abd1710|.g s
11:03:16 |c|@abd1710|.g babiri berry
11:03:16 |c|*OutrageousBoT|Congratulations, abd1710 has won the game and recieves  20 points! The correct answer was: Babiri Berry
11:03:19 |c|@abd1710|.hangman
11:03:19 |c|*OutrageousBoT|Hosting a game of Hangman. Use +g to guess.
11:03:20 |c|*OutrageousBoT|_ _ _ / _ _ _ _ _ _ _ _ | [Pokémon Move] |
11:03:22 |c|@abd1710|.g a
11:03:23 |c|@abd1710|.g r
11:03:24 |c|@abd1710|.g e
11:03:26 |c|@abd1710|.g u
11:03:27 |c|@abd1710|.g i
11:03:27 |c|*OutrageousBoT|_ _ _ / U _ _ e r _ u _ | [Pokémon Move] | a i
11:03:28 |c|@abd1710|.g o
11:03:32 |c|@abd1710|.g s
11:03:34 |c|@abd1710|.g t
11:03:35 |c|@abd1710|.g m
11:03:35 |c|*OutrageousBoT|S _ _ / U _ _ e r _ u t | [Pokémon Move] | a i o s
11:03:39 |c|@abd1710|.g skyuppercut
11:03:39 |c|*OutrageousBoT|Congratulations, abd1710 has won the game and recieves  20 points! The correct answer was: Sky Uppercut
11:12:58 |c|#charizard8888|/log abd1710 was appointed Room Owner by charizard8888.
11:12:58 |n|#abd1710|abd1710
11:13:00 |c|#charizard8888|Gratz!
11:15:00 |c|#abd1710|ayy thnx
11:19:28 |l|#charizard8888
11:25:26 |l|#abd1710
12:00:16 |userstats|total:1|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
12:59:24 |j|%Tamatomo
13:00:16 |userstats|total:2|guests:0| :0|+:0|$:0|%:1|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
14:00:16 |userstats|total:2|guests:0| :0|+:0|$:0|%:1|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
14:01:51 |j|#charizard8888
14:03:28 |l|%Tamatomo
14:13:42 |j|#abd1710
14:22:01 |c|#abd1710|.top
14:22:01 |c|*OutrageousBoT|Top (chillin): #1: cellwar - ``602`` | #2: normanz1283 - ``450`` | #3: abd1710 - ``230`` | #4: tamatomo - ``140`` | #5: null - ``-1``
14:22:10 |c|#abd1710|.givepoints OutrageousBoT,10
14:22:10 |c|*OutrageousBoT|outrageousbot has been given 10 points
14:22:13 |c|#abd1710|.top
14:22:13 |c|*OutrageousBoT|Top (chillin): #1: cellwar - ``602`` | #2: normanz1283 - ``450`` | #3: abd1710 - ``230`` | #4: tamatomo - ``140`` | #5: outrageousbot - ``10``
14:26:29 |l|#charizard8888
14:28:49 |j|#charizard8888
15:00:16 |userstats|total:3|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:2|&:0|~:0|⚔:0
15:22:34 |c|#abd1710|.guide
15:22:34 |c|*OutrageousBoT|A guide on how to use this bot can be found here: http://pastebin.com/zT0eFG8a
15:24:02 (abd1710 changed the roomintro.)
15:24:02 edit
15:24:07 |c|#abd1710|oops
15:25:30 |c|#abd1710|charizard8888 cn u help?
15:25:48 |c|#abd1710|i mistakenly misplaced the intro
15:25:59 |l|#abd1710
15:28:45 |c|#charizard8888|OH
15:28:52 |c|#charizard8888|+intro
15:28:52 |c|*OutrageousBoT|pastebin.com/JWqqnYbT
15:30:32 |c|#charizard8888|I can try idk
15:42:57 (charizard8888 changed the roomintro.)
15:42:57 <div style="background-color: #6B8E23; "><button name="send" value="Rawr!!!!! I'm a Dragon and I'm gonna chill in this **EPIC ROOM** xaa xaa feelsgd feelshp :) "title="RAWR!" style=" background: none;border:none; color: #FFE4C4; cursor: pointer; font-size: 24px;cursor: url(http://www.pokestadium.com/assets/img/sprites/misc/conquest/garchomp.png),auto";><b>Say Hi</b><img src="http://www.smogon.com/dex/media/sprites/xy/garchomp-mega.gif" width="132" height="107" ></button><button name="send" value="!dt 360"title="Looking for a reason ?" style="background: #90EE90; color : black ;transform:rotate(-30deg); border: none;font-size:24px;">Cuz</button><button name="send" value="/join Dragon Rage Spam Room" title="Click for SPAM" style="background: #90EE90; transform:rotate(10deg); color : black ; border: none;font-size:24px;">Let's Spam fam</button><button name="send" value="+comlist" title="See u again" style="background: #9ACD32; color : black ; border: none;font-size:24px;transform:rotate(30deg);" >CustomZ </button><br><br><br><br><marquee scrollamount=5 bgcolor=black style="transform:skew(20deg);font-family:Jokerman;size:24px;color:yellow;"> Yo! Welcome to chillin! Here we chill with our fellow dragons!!! </marquee><button name="send" value="/tell PI Eddy Chomp, This place is gr8 I r8 it 8/8 this isn't a b8 m8 I'm giving it all str8 you can even authentic8 no need to deb8 it's just a way to propog8. Victini used V- cre8. It's the cool 8 g8 of charizard8888 **#Weh8Fairytype**" title="Join 4 fun" style="border: none ; background: Yellow; transform: skew(170deg); font-size: 24px; cursor:url(http://www.pokestadium.com/assets/img/sprites/misc/icons/zekrom.png),auto">JOIN</button></div>
15:43:13 (charizard8888 changed the roomintro.)
15:43:13 <div style="background-color: #6B8E23; "><button name="send" value="Rawr!!!!! I'm a Dragon and I'm gonna chill in this **EPIC ROOM** xaa xaa feelsgd feelshp :) "title="RAWR!" style=" background: none;border:none; color: #FFE4C4; cursor: pointer; font-size: 24px;cursor: url(http://www.pokestadium.com/assets/img/sprites/misc/conquest/garchomp.png),auto";><b>Say Hi</b><img src="http://www.smogon.com/dex/media/sprites/xy/garchomp-mega.gif" width="132" height="107" ></button><button name="send" value="!dt 360"title="Looking for a reason ?" style="background: #90EE90; color : black ;transform:rotate(-30deg); border: none;font-size:24px;">Cuz</button><button name="send" value="/join Dragon Rage Spam Room" title="Click for SPAM" style="background: #90EE90; transform:rotate(10deg); color : black ; border: none;font-size:24px;">Let's Spam fam</button><button name="send" value="+comlist" title="See u again" style="background: #9ACD32; color : black ; border: none;font-size:24px;transform:rotate(30deg);" >CustomZ </button><br><br><br><br><marquee scrollamount=5 bgcolor=black style="transform:skew(20deg);font-family:Jokerman;size:240px;color:yellow;"> Yo! Welcome to chillin! Here we chill with our fellow dragons!!! </marquee><button name="send" value="/tell PI Eddy Chomp, This place is gr8 I r8 it 8/8 this isn't a b8 m8 I'm giving it all str8 you can even authentic8 no need to deb8 it's just a way to propog8. Victini used V- cre8. It's the cool 8 g8 of charizard8888 **#Weh8Fairytype**" title="Join 4 fun" style="border: none ; background: Yellow; transform: skew(170deg); font-size: 24px; cursor:url(http://www.pokestadium.com/assets/img/sprites/misc/icons/zekrom.png),auto">JOIN</button></div>
15:43:19 (charizard8888 changed the roomintro.)
